Month,Day,Label,Note
September,6,,
September,7,,
September,8,Ryan's Birthday,1994
September,9,,
September,10,,
September,11,,
September,12,"""Continuum"" Release Day",2006
September,13,,
September,14,,
September,15,,
September,16,,
September,17,,
September,18,,
September,19,,
September,20,,
September,21,,
September,22,,
September,23,,
September,24,,
September,25,,
September,26,Brianna's Wedding,2021
September,27,,
September,28,Leah's Birthday,2017
September,29,,
September,30,,
October,1,,
October,2,,
October,3,,
October,4,,
October,5,,
October,6,,
October,7,,
October,8,,
October,9,,
October,10,,
October,11,,
October,12,,
October,13,,
October,14,,
October,15,,
October,16,Bob Weir & John Mayer's Birthday,"1947, 1977"
October,17,,
October,18,Uncle Rich's Birthday,
October,19,,
October,20,,
October,21,Hollywood Sportatorium Closed,1988
October,22,,
October,23,,
October,24,,
October,25,,
October,26,,
October,27,,
October,28,,
October,29,,
October,30,Hurricane Sandy Aftermath,2012
October,31,Halloween,2005
November,1,,
November,2,,
November,3,,
November,4,,
November,5,,
November,6,Dead and Company at Nassau Coliseum ,2019
November,7,,
November,8,Purchased Southold house,Closing date in 2002
November,9,March of the Wooden Soldiers Release Day,1934
November,10,,
November,11,,
November,12,,
November,13,First Floor renovation status,September-December 2013
November,14,,
November,15,,
November,16,,
November,17,,
November,18,,
November,19,,
November,20,,
November,21,,
November,22,,
November,23,,
November,24,,
November,25,,
November,26,,
November,27,,
November,28,,
November,29,,
November,30,,
December,1,,
December,2,,
December,3,,
December,4,,
December,5,,
December,6,,
December,7,,
December,8,,
December,9,,
December,10,,
December,11,,
December,12,Saturday Night Fever was released on this day in 1977,
December,13,Will Parrinello's Birthday,1995
December,14,,
December,15,,
December,16,,
December,17,,
December,18,,
December,19,"""Titanic"" Release Day",1997
December,20,,
December,21,,
December,22,,
December,23,,
December,24,XMAS Eve,2015
December,25,Merry XMAS!,
December,26,,
December,27,,
December,28,,
December,29,,
December,30,,
December,31,New Year's Eve / Grandpa's Birthday,
